customer_id,Recency,Frequency,Monetary,Segment
1,40,3,30644.78,Loyal
2,263,3,21652.87,Loyal
3,68,3,26248.66,Loyal
4,254,3,24197.81,Loyal
5,255,3,19442.01,Loyal
6,113,3,35856.83,Loyal
7,194,3,7707.64,Loyal
8,260,3,2603.58,Lost
9,245,3,26678.97,Loyal
10,127,3,37800.42,Loyal
11,246,3,4079.49,Lost
12,249,3,27157.21,Loyal
13,260,3,15830.32,Loyal
14,250,3,17307.1,Loyal
15,125,3,11392.19,Loyal
16,263,3,34502.7,Loyal
17,255,3,5927.17,Loyal
18,258,3,17305.62,Loyal
19,258,3,18222.87,Loyal
20,260,3,12474.2,Loyal
21,244,3,18298.23,Loyal
22,264,2,18099.34,Lost
23,271,2,5139.71,Lost
24,249,3,15454.83,Loyal
25,263,2,16419.13,Lost
26,261,2,11035.05,Lost
27,271,2,11509.4,Lost
28,259,2,22230.76,Lost
29,250,2,13599.52,Lost
30,254,3,11676.92,Loyal
31,266,3,21928.06,Loyal
32,262,3,19575.27,Loyal
33,170,3,20949.0,Loyal
34,258,2,12816.4,Lost
35,270,2,24779.13,Lost
36,257,2,6399.79,Lost
37,260,2,17155.76,Lost
38,260,2,23397.44,Lost
39,255,2,19143.44,Lost
40,245,3,18767.86,Loyal
41,268,2,4413.35,Lost
42,252,2,10138.3,Lost
43,243,3,25381.62,Loyal
44,247,2,2569.31,Lost
45,244,2,3912.44,Lost
46,251,3,9589.41,Loyal
47,261,3,19538.6,Loyal
48,249,2,13459.23,Lost
49,243,2,1963.57,Lost
50,260,3,17848.29,Loyal
51,270,2,8368.35,Lost
52,266,2,6931.45,Lost
53,169,3,16137.68,Loyal
54,250,2,18567.4,Lost
55,242,2,4673.34,Lost
56,244,3,7179.6,Loyal
57,252,2,8238.99,Lost
58,256,2,24685.44,Lost
59,260,2,15419.1,Lost
60,251,2,11149.28,Lost
61,262,3,29660.54,Loyal
62,271,2,4568.32,Lost
63,253,2,21941.05,Lost
64,268,3,9490.88,Loyal
65,252,2,11978.53,Lost
66,261,3,25940.02,Loyal
67,255,2,1609.72,Lost
68,263,3,11842.18,Loyal
69,267,2,9259.37,Lost
70,255,2,18709.46,Lost
71,244,2,2012.73,Lost
72,251,2,14837.48,Lost
73,255,2,34390.22,Lost
74,242,2,4459.82,Lost
75,264,2,37499.92,Lost
76,256,2,8208.77,Lost
77,252,3,9139.48,Loyal
78,260,2,3709.65,Lost
79,257,2,17641.08,Lost
80,250,2,10715.19,Lost
81,266,2,6159.56,Lost
82,268,2,21997.12,Lost
83,266,2,8487.1,Lost
84,270,2,7748.44,Lost
85,264,2,25771.72,Lost
86,267,2,14937.93,Lost
87,262,2,14460.32,Lost
88,252,2,11000.37,Lost
89,251,2,11985.58,Lost
90,243,2,9840.37,Lost
91,255,2,20830.42,Lost
92,264,2,3278.48,Lost
93,249,2,29214.1,Lost
94,271,2,37138.18,Lost
95,639,1,13169.63,Lost
96,748,1,9097.71,Lost
97,261,2,6899.78,Lost
98,979,1,3079.51,Lost
99,992,1,6290.34,Lost
100,306,1,5999.88,Lost
101,828,1,1479.86,Lost
102,752,1,3397.72,Lost
103,850,1,3397.59,Lost
104,248,2,13443.26,Lost
105,967,1,13782.51,Lost
106,498,1,3019.71,Lost
107,935,1,7397.73,Lost
108,379,1,19263.78,Lost
109,246,2,19739.02,Lost
110,259,2,5802.28,Lost
111,798,1,6641.82,Lost
112,273,1,8597.57,Lost
113,399,1,4815.55,Lost
114,274,1,909.58,Lost
115,334,1,9519.47,Lost
116,257,3,14089.9,Loyal
117,991,2,2619.55,Lost
118,737,1,4421.69,Lost
119,171,2,17709.48,At-Risk
120,266,2,10307.44,Lost
121,253,2,3897.81,Lost
122,337,1,27618.61,Lost
123,180,2,16074.93,At-Risk
124,249,2,6889.39,Lost
125,523,1,7599.82,Lost
126,296,1,10939.61,Lost
127,972,1,7299.69,Lost
128,389,1,7939.79,Lost
129,565,1,3169.88,Lost
130,733,1,529.79,Lost
131,737,1,2538.82,Lost
132,864,1,3541.71,Lost
133,916,1,4219.62,Lost
134,983,1,4490.57,Lost
135,30,2,13323.07,Active
136,0,2,17326.98,Active
137,667,1,761.94,Lost
138,245,2,13312.88,Lost
139,281,1,2899.57,Lost
140,503,1,14239.24,Lost
141,659,1,470.79,Lost
142,560,1,5499.94,Lost
143,473,1,4303.81,Lost
144,854,1,269.94,Lost
145,940,1,9167.77,Lost
146,315,1,7017.59,Lost
147,670,1,11099.83,Lost
148,808,1,1369.72,Lost
149,832,1,8939.84,Lost
150,940,1,4219.83,Lost
151,266,2,7499.36,Lost
152,277,1,4388.6,Lost
153,636,2,18705.86,Lost
154,645,1,939.78,Lost
155,800,1,4569.63,Lost
156,900,1,5167.48,Lost
157,246,2,19879.0,Lost
158,912,1,1479.84,Lost
159,919,1,11799.67,Lost
160,761,1,8469.72,Lost
161,517,1,4717.73,Lost
162,612,1,4830.4,Lost
163,731,1,5401.41,Lost
164,1068,1,1199.93,Lost
165,245,2,12989.0,Lost
166,667,1,939.78,Lost
167,562,1,15053.46,Lost
168,526,1,4517.17,Lost
169,255,2,15597.3,Lost
170,255,2,15980.28,Lost
171,592,1,4088.47,Lost
172,254,2,17911.31,Lost
173,683,1,8892.17,Lost
174,527,1,3119.93,Lost
175,261,2,13859.62,Lost
176,246,2,7802.23,Lost
177,615,1,189.89,Lost
178,764,1,4901.6,Lost
179,585,1,6265.84,Lost
180,272,1,3097.8,Lost
181,269,2,8999.56,Lost
182,500,1,19361.64,Lost
183,980,1,1320.94,Lost
184,669,1,18428.61,Lost
185,508,1,3463.87,Lost
186,437,1,10909.68,Lost
187,256,2,14461.43,Lost
188,247,2,2100.47,Lost
189,504,1,2265.82,Lost
190,716,1,2212.69,Lost
191,248,2,2849.4,Lost
192,251,2,16028.27,Lost
193,809,1,1109.46,Lost
194,269,2,13799.04,Lost
195,295,1,17369.28,Lost
196,598,1,11899.6,Lost
197,824,1,5520.16,Lost
198,499,1,3159.57,Lost
199,860,1,5069.7,Lost
200,680,1,489.79,Lost
201,431,1,2925.4,Lost
202,913,1,4411.71,Lost
203,356,1,13157.52,Lost
204,1034,1,3338.38,Lost
205,998,1,3908.67,Lost
206,947,1,9299.67,Lost
207,683,1,2769.49,Lost
208,265,2,6219.5,Lost
209,505,1,1409.79,Lost
210,416,1,3999.89,Lost
211,900,1,1549.88,Lost
212,775,1,6999.59,Lost
213,427,1,5099.64,Lost
214,599,1,3439.39,Lost
215,579,1,5039.57,Lost
216,440,1,5963.5,Lost
217,269,2,5618.38,Lost
218,1035,1,8346.41,Lost
219,534,1,1733.72,Lost
220,494,1,7319.46,Lost
221,633,1,249.79,Lost
222,428,1,1749.71,Lost
223,943,1,4897.84,Lost
224,249,2,12828.84,Lost
225,498,1,9059.35,Lost
226,419,1,14101.44,Lost
227,392,1,22000.27,Lost
228,285,1,749.89,Lost
229,435,1,875.92,Lost
230,904,1,10148.72,Lost
231,246,2,13687.3,Lost
232,664,1,1915.82,Lost
233,259,2,2658.68,Lost
234,638,1,4389.24,Lost
235,803,1,6399.71,Lost
236,1072,1,4599.8,Lost
237,264,2,2119.86,Lost
238,552,1,21816.61,Lost
239,243,2,11368.84,Lost
240,247,2,11239.0,Lost
241,818,1,2557.5,Lost
242,577,1,7782.59,Lost
243,415,1,2849.74,Lost
244,365,1,1291.61,Lost
245,698,1,12199.64,Lost
246,628,1,6949.48,Lost
247,347,1,11349.85,Lost
248,555,1,1272.68,Lost
249,650,1,761.94,Lost
250,699,1,2511.84,Lost
251,998,1,9369.78,Lost
252,1074,1,10330.54,Lost
253,341,1,1799.78,Lost
254,463,1,1817.75,Lost
255,664,1,11452.38,Lost
256,356,1,2909.52,Lost
257,376,1,5710.58,Lost
258,1084,1,469.92,Lost
259,1092,1,11397.37,Lost
260,808,1,3950.37,Lost
261,847,1,1949.85,Lost
262,389,1,2809.47,Lost
263,288,1,16358.32,Lost
264,1049,1,1669.85,Lost
265,566,1,1199.81,Lost
266,531,1,3039.55,Lost
267,961,1,1739.81,Lost
268,483,1,7810.62,Lost
269,433,1,8069.56,Lost
270,553,1,3989.71,Lost
271,1032,1,1099.78,Lost
272,838,1,10360.15,Lost
273,362,1,3259.79,Lost
274,887,1,6068.49,Lost
275,471,1,12543.54,Lost
276,1041,1,7669.46,Lost
277,1056,1,4201.6,Lost
278,561,1,5609.77,Lost
279,386,1,10531.48,Lost
280,971,1,5518.56,Lost
281,906,1,6459.73,Lost
282,930,1,9959.4,Lost
283,718,1,1269.8,Lost
284,661,1,1067.85,Lost
285,383,1,659.92,Lost
286,451,1,1103.91,Lost
287,283,1,2633.51,Lost
288,1005,1,5439.4,Lost
289,406,1,19499.72,Lost
290,524,1,1649.58,Lost
291,699,1,1767.6,Lost
292,445,1,14946.52,Lost
293,300,1,6739.81,Lost
294,631,1,1369.73,Lost
295,683,1,12919.23,Lost
296,284,1,15249.4,Lost
297,705,1,3897.83,Lost
298,766,1,11439.36,Lost
299,898,1,2839.77,Lost
300,299,1,1279.78,Lost
301,633,1,4397.78,Lost
302,273,1,709.7,Lost
303,412,1,3458.58,Lost
304,817,1,539.91,Lost
305,494,1,1431.56,Lost
306,1030,1,7361.66,Lost
307,955,1,3269.78,Lost
308,292,1,8499.52,Lost
309,747,1,4831.48,Lost
310,339,1,14999.47,Lost
311,368,1,1371.64,Lost
312,332,1,6099.72,Lost
313,784,1,5697.36,Lost
314,833,1,7309.67,Lost
315,637,1,2376.77,Lost
316,1014,1,7439.57,Lost
317,1042,1,1659.82,Lost
318,431,1,1803.73,Lost
319,916,1,2499.76,Lost
320,390,1,12470.72,Lost
321,782,1,1248.78,Lost
322,377,1,12749.73,Lost
323,322,1,2999.89,Lost
324,1089,1,2387.71,Lost
325,503,1,999.94,Lost
326,490,1,3017.69,Lost
327,1019,1,6206.54,Lost
328,550,1,10489.56,Lost
329,619,1,9999.93,Lost
330,285,1,13139.43,Lost
331,860,1,2068.57,Lost
332,1004,1,6428.52,Lost
333,411,1,3199.5,Lost
334,476,1,14109.55,Lost
335,663,1,4365.86,Lost
336,1031,1,799.86,Lost
337,864,1,5587.4,Lost
338,994,1,4778.69,Lost
339,560,1,20199.55,Lost
340,640,1,10165.55,Lost
341,786,1,1499.78,Lost
342,581,1,299.89,Lost
343,694,1,1989.83,Lost
344,707,1,4914.38,Lost
345,586,1,11299.71,Lost
346,412,1,539.92,Lost
347,711,1,250.89,Lost
348,1066,1,4028.58,Lost
349,710,1,7275.87,Lost
350,928,1,12571.61,Lost
351,465,1,9114.66,Lost
352,587,1,7173.39,Lost
353,523,1,3547.52,Lost
354,533,1,7830.68,Lost
355,560,1,3199.85,Lost
356,523,1,10949.8,Lost
357,999,1,2225.67,Lost
358,605,1,3833.39,Lost
359,845,1,2139.82,Lost
360,912,1,6895.77,Lost
361,703,1,5653.52,Lost
362,830,1,4899.5,Lost
363,962,1,269.89,Lost
364,299,1,6359.71,Lost
365,768,1,1928.71,Lost
366,1006,1,7680.67,Lost
367,653,1,8189.09,Lost
368,855,1,939.78,Lost
369,440,1,1616.87,Lost
370,1010,1,569.81,Lost
371,1000,1,1799.89,Lost
372,622,1,7199.62,Lost
373,868,1,999.93,Lost
374,644,1,15937.56,Lost
375,404,1,13749.37,Lost
376,588,1,2248.88,Lost
377,801,1,809.82,Lost
378,920,1,499.92,Lost
379,486,1,7033.86,Lost
380,695,1,3359.05,Lost
