order_id,item_id,product_id,quantity,list_price,discount,total_price
1,1,20,1,599.99,0.2,599.79
1,2,8,2,1799.99,0.07,3599.91
1,3,10,2,1549.0,0.05,3097.95
1,4,16,2,599.99,0.05,1199.93
1,5,4,1,2899.99,0.2,2899.79
2,1,20,1,599.99,0.07,599.92
2,2,16,2,599.99,0.05,1199.93
3,1,3,1,999.99,0.05,999.94
3,2,20,1,599.99,0.05,599.94
4,1,2,2,749.99,0.1,1499.88
5,1,10,2,1549.0,0.05,3097.95
5,2,17,1,429.0,0.07,428.93
5,3,26,1,599.99,0.07,599.92
6,1,18,1,449.0,0.07,448.93
6,2,12,2,549.99,0.05,1099.93
6,3,20,1,599.99,0.1,599.89
6,4,3,2,999.99,0.07,1999.91
6,5,9,2,2999.99,0.07,5999.91
7,1,15,1,529.99,0.07,529.92
7,2,3,1,999.99,0.1,999.89
7,3,17,2,429.0,0.1,857.9
8,1,22,1,269.99,0.05,269.94
8,2,20,2,599.99,0.07,1199.91
9,1,7,2,3999.99,0.1,7999.88
10,1,14,1,269.99,0.1,269.89
11,1,8,1,1799.99,0.05,1799.94
11,2,22,2,269.99,0.1,539.88
11,3,16,2,599.99,0.2,1199.78
12,1,4,2,2899.99,0.1,5799.88
12,2,11,1,1680.99,0.05,1680.94
13,1,13,1,269.99,0.1,269.89
13,2,17,2,429.0,0.05,857.95
13,3,20,2,599.99,0.1,1199.88
13,4,16,2,599.99,0.05,1199.93
14,1,6,1,469.99,0.07,469.92
15,1,12,2,549.99,0.07,1099.91
15,2,8,1,1799.99,0.07,1799.92
15,3,18,2,449.0,0.05,897.95
15,4,23,2,299.99,0.2,599.78
16,1,8,1,1799.99,0.2,1799.79
16,2,21,1,269.99,0.05,269.94
16,3,13,2,269.99,0.07,539.91
16,4,14,1,269.99,0.07,269.92
17,1,8,1,1799.99,0.07,1799.92
17,2,23,1,299.99,0.1,299.89
17,3,5,1,1320.99,0.1,1320.89
17,4,20,2,599.99,0.2,1199.78
18,1,2,2,749.99,0.2,1499.78
18,2,22,1,269.99,0.05,269.94
18,3,7,1,3999.99,0.1,3999.89
18,4,25,2,499.99,0.05,999.93
18,5,9,2,2999.99,0.1,5999.88
19,1,10,1,1549.0,0.07,1548.93
19,2,9,2,2999.99,0.2,5999.78
20,1,9,1,2999.99,0.07,2999.92
20,2,10,2,1549.0,0.07,3097.93
21,1,14,1,269.99,0.05,269.94
21,2,17,1,429.0,0.1,428.9
21,3,10,1,1549.0,0.07,1548.93
22,1,15,2,529.99,0.2,1059.78
22,2,22,1,269.99,0.05,269.94
23,1,4,2,2899.99,0.05,5799.93
23,2,23,2,299.99,0.1,599.88
23,3,13,1,269.99,0.2,269.79
24,1,3,2,999.99,0.1,1999.88
24,2,18,2,449.0,0.07,897.93
25,1,23,2,299.99,0.2,599.78
25,2,10,2,1549.0,0.2,3097.8
25,3,22,1,269.99,0.2,269.79
25,4,14,1,269.99,0.2,269.79
25,5,21,1,269.99,0.1,269.89
26,1,7,1,3999.99,0.05,3999.94
26,2,2,1,749.99,0.2,749.79
26,3,12,1,549.99,0.2,549.79
26,4,21,2,269.99,0.07,539.91
27,1,5,1,1320.99,0.2,1320.79
27,2,19,1,449.0,0.2,448.8
27,3,26,2,599.99,0.07,1199.91
27,4,8,1,1799.99,0.07,1799.92
28,1,5,1,1320.99,0.05,1320.94
28,2,7,2,3999.99,0.2,7999.78
28,3,14,2,269.99,0.1,539.88
28,4,6,1,469.99,0.05,469.94
29,1,24,2,549.99,0.05,1099.93
29,2,6,1,469.99,0.2,469.79
29,3,21,2,269.99,0.1,539.88
29,4,8,1,1799.99,0.2,1799.79
29,5,14,2,269.99,0.05,539.93
30,1,26,1,599.99,0.05,599.94
30,2,17,1,429.0,0.07,428.93
30,3,19,1,449.0,0.1,448.9
30,4,4,1,2899.99,0.1,2899.89
30,5,7,2,3999.99,0.1,7999.88
31,1,11,2,1680.99,0.05,3361.93
31,2,9,2,2999.99,0.2,5999.78
32,1,8,2,1799.99,0.07,3599.91
32,2,12,2,549.99,0.07,1099.91
32,3,25,2,499.99,0.1,999.88
33,1,23,2,299.99,0.07,599.91
33,2,7,1,3999.99,0.1,3999.89
34,1,8,2,1799.99,0.07,3599.91
34,2,10,2,1549.0,0.1,3097.9
34,3,17,2,429.0,0.2,857.8
35,1,18,1,449.0,0.05,448.95
35,2,20,2,599.99,0.05,1199.93
35,3,5,1,1320.99,0.2,1320.79
35,4,21,2,269.99,0.07,539.91
35,5,22,1,269.99,0.07,269.92
36,1,9,1,2999.99,0.07,2999.92
36,2,5,1,1320.99,0.05,1320.94
36,3,3,2,999.99,0.2,1999.78
37,1,16,2,599.99,0.05,1199.93
38,1,7,2,3999.99,0.05,7999.93
38,2,23,1,299.99,0.07,299.92
38,3,25,1,499.99,0.2,499.79
38,4,10,2,1549.0,0.1,3097.9
38,5,24,1,549.99,0.07,549.92
39,1,22,2,269.99,0.2,539.78
39,2,16,2,599.99,0.2,1199.78
39,3,3,2,999.99,0.05,1999.93
39,4,15,1,529.99,0.1,529.89
40,1,17,1,429.0,0.2,428.8
40,2,8,2,1799.99,0.2,3599.78
41,1,5,1,1320.99,0.1,1320.89
41,2,19,2,449.0,0.2,897.8
41,3,26,2,599.99,0.2,1199.78
42,1,19,1,449.0,0.05,448.95
43,1,13,2,269.99,0.1,539.88
43,2,12,2,549.99,0.05,1099.93
44,1,7,1,3999.99,0.1,3999.89
44,2,16,1,599.99,0.05,599.94
45,1,4,2,2899.99,0.2,5799.78
45,2,22,1,269.99,0.07,269.92
45,3,21,2,269.99,0.05,539.93
46,1,17,1,429.0,0.1,428.9
47,1,6,1,469.99,0.05,469.94
47,2,15,1,529.99,0.1,529.89
47,3,25,2,499.99,0.07,999.91
47,4,13,1,269.99,0.2,269.79
48,1,11,1,1680.99,0.1,1680.89
48,2,4,1,2899.99,0.2,2899.79
48,3,5,2,1320.99,0.1,2641.88
48,4,14,2,269.99,0.07,539.91
49,1,13,2,269.99,0.07,539.91
50,1,3,1,999.99,0.05,999.94
50,2,26,2,599.99,0.07,1199.91
50,3,13,2,269.99,0.2,539.78
51,1,13,1,269.99,0.05,269.94
51,2,20,1,599.99,0.05,599.94
51,3,26,2,599.99,0.2,1199.78
52,1,25,1,499.99,0.07,499.92
53,1,8,2,1799.99,0.2,3599.78
53,2,23,2,299.99,0.05,599.93
53,3,14,2,269.99,0.2,539.78
53,4,25,2,499.99,0.1,999.88
54,1,26,2,599.99,0.2,1199.78
54,2,3,1,999.99,0.2,999.79
