order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id
1,259,Completed,01-01-2016,03-01-2016,03-01-2016,1,2
2,1212,Completed,01-01-2016,04-01-2016,03-01-2016,2,6
3,523,Completed,02-01-2016,05-01-2016,03-01-2016,2,7
4,175,Completed,03-01-2016,04-01-2016,05-01-2016,1,3
5,1324,Completed,03-01-2016,06-01-2016,06-01-2016,2,6
6,94,Completed,04-01-2016,07-01-2016,05-01-2016,2,6
7,324,Completed,04-01-2016,07-01-2016,05-01-2016,2,6
8,1204,Completed,04-01-2016,05-01-2016,05-01-2016,2,7
9,60,Completed,05-01-2016,08-01-2016,08-01-2016,1,2
10,442,Completed,05-01-2016,06-01-2016,06-01-2016,2,6
11,1326,Completed,05-01-2016,08-01-2016,07-01-2016,2,7
12,91,Completed,06-01-2016,08-01-2016,09-01-2016,1,2
13,873,Completed,08-01-2016,11-01-2016,11-01-2016,2,6
14,258,Completed,09-01-2016,11-01-2016,12-01-2016,1,3
15,450,Completed,09-01-2016,10-01-2016,12-01-2016,2,7
16,552,Completed,12-01-2016,15-01-2016,15-01-2016,1,3
17,1175,Completed,12-01-2016,14-01-2016,14-01-2016,1,3
18,541,Completed,14-01-2016,17-01-2016,15-01-2016,1,3
19,696,Completed,14-01-2016,17-01-2016,16-01-2016,1,2
20,923,Completed,14-01-2016,16-01-2016,17-01-2016,1,2
21,1250,Completed,15-01-2016,16-01-2016,18-01-2016,2,6
22,1035,Completed,16-01-2016,18-01-2016,17-01-2016,1,2
23,1149,Completed,16-01-2016,19-01-2016,19-01-2016,1,2
24,636,Completed,18-01-2016,20-01-2016,19-01-2016,2,7
25,657,Completed,18-01-2016,21-01-2016,21-01-2016,2,6
26,1280,Completed,18-01-2016,21-01-2016,19-01-2016,2,7
27,57,Completed,19-01-2016,21-01-2016,20-01-2016,2,7
28,252,Completed,19-01-2016,20-01-2016,21-01-2016,2,6
29,437,Completed,20-01-2016,22-01-2016,21-01-2016,2,6
30,1348,Completed,20-01-2016,21-01-2016,21-01-2016,2,6
31,1238,Completed,20-01-2016,22-01-2016,22-01-2016,3,8
32,1259,Completed,21-01-2016,24-01-2016,22-01-2016,1,3
33,236,Completed,21-01-2016,22-01-2016,22-01-2016,2,6
34,80,Completed,22-01-2016,25-01-2016,23-01-2016,2,6
35,813,Completed,22-01-2016,25-01-2016,24-01-2016,2,7
36,1321,Completed,23-01-2016,24-01-2016,24-01-2016,2,6
37,164,Completed,25-01-2016,28-01-2016,26-01-2016,2,6
38,583,Completed,25-01-2016,27-01-2016,26-01-2016,2,7
39,1296,Completed,25-01-2016,26-01-2016,26-01-2016,2,7
40,348,Completed,27-01-2016,28-01-2016,29-01-2016,1,3
41,979,Completed,27-01-2016,30-01-2016,29-01-2016,2,6
42,1095,Completed,27-01-2016,28-01-2016,30-01-2016,2,7
43,1434,Completed,27-01-2016,28-01-2016,30-01-2016,2,7
44,861,Completed,28-01-2016,31-01-2016,30-01-2016,2,7
45,1220,Completed,28-01-2016,31-01-2016,31-01-2016,2,7
46,746,Completed,29-01-2016,31-01-2016,31-01-2016,2,7
47,1234,Completed,29-01-2016,30-01-2016,31-01-2016,2,7
48,1012,Completed,30-01-2016,01-02-2016,02-02-2016,2,7
49,608,Completed,31-01-2016,01-02-2016,02-02-2016,2,6
50,872,Completed,31-01-2016,03-02-2016,02-02-2016,3,8
51,1047,Completed,01-02-2016,02-02-2016,03-02-2016,2,7
52,767,Completed,03-02-2016,04-02-2016,05-02-2016,1,2
53,965,Completed,03-02-2016,04-02-2016,05-02-2016,2,6
54,535,Completed,04-02-2016,07-02-2016,07-02-2016,2,7
55,1173,Completed,04-02-2016,07-02-2016,06-02-2016,2,6
56,1241,Completed,04-02-2016,06-02-2016,07-02-2016,2,6
57,1305,Completed,04-02-2016,06-02-2016,06-02-2016,2,7
58,504,Completed,05-02-2016,07-02-2016,07-02-2016,2,6
59,563,Completed,05-02-2016,07-02-2016,06-02-2016,2,7
60,151,Completed,06-02-2016,08-02-2016,07-02-2016,1,3
61,277,Completed,06-02-2016,09-02-2016,09-02-2016,2,7
62,208,Completed,07-02-2016,10-02-2016,10-02-2016,1,2
63,1075,Completed,07-02-2016,09-02-2016,09-02-2016,2,7
64,1185,Completed,07-02-2016,08-02-2016,09-02-2016,2,6
65,996,Completed,08-02-2016,09-02-2016,11-02-2016,2,6
66,1253,Completed,09-02-2016,12-02-2016,12-02-2016,2,7
67,526,Completed,09-02-2016,11-02-2016,10-02-2016,3,8
68,381,Completed,10-02-2016,11-02-2016,13-02-2016,2,6
69,1413,Completed,10-02-2016,12-02-2016,11-02-2016,2,7
70,50,Rejected,11-02-2016,11-02-2016,Pending,3,9
71,797,Completed,11-02-2016,14-02-2016,12-02-2016,2,7
72,1386,Completed,12-02-2016,15-02-2016,13-02-2016,1,2
73,612,Completed,12-02-2016,15-02-2016,14-02-2016,2,7
74,264,Completed,13-02-2016,15-02-2016,15-02-2016,2,7
75,587,Completed,14-02-2016,15-02-2016,17-02-2016,2,6
76,9,Rejected,16-02-2016,16-02-2016,Pending,2,6
77,385,Completed,16-02-2016,19-02-2016,19-02-2016,1,2
78,1182,Completed,16-02-2016,18-02-2016,19-02-2016,2,7
79,529,Completed,17-02-2016,20-02-2016,20-02-2016,1,3
80,397,Completed,17-02-2016,20-02-2016,19-02-2016,2,6
81,521,Completed,17-02-2016,19-02-2016,18-02-2016,2,6
82,1223,Completed,18-02-2016,21-02-2016,20-02-2016,2,6
83,393,Completed,19-02-2016,20-02-2016,20-02-2016,1,3
84,317,Completed,20-02-2016,22-02-2016,21-02-2016,2,7
85,1174,Completed,20-02-2016,23-02-2016,21-02-2016,2,7
86,276,Completed,21-02-2016,22-02-2016,23-02-2016,2,7
87,516,Completed,21-02-2016,22-02-2016,23-02-2016,2,6
88,1069,Completed,21-02-2016,22-02-2016,23-02-2016,2,6
89,668,Completed,21-02-2016,24-02-2016,24-02-2016,3,8
90,414,Completed,23-02-2016,25-02-2016,24-02-2016,2,7
91,648,Completed,25-02-2016,27-02-2016,28-02-2016,1,2
92,1309,Completed,25-02-2016,28-02-2016,28-02-2016,2,7
93,1328,Completed,26-02-2016,28-02-2016,27-02-2016,1,3
94,929,Completed,27-02-2016,28-02-2016,29-02-2016,1,2
95,218,Completed,27-02-2016,29-02-2016,28-02-2016,2,7
96,1094,Completed,27-02-2016,29-02-2016,28-02-2016,2,7
97,204,Completed,28-02-2016,29-02-2016,01-03-2016,2,7
